CustomerID,FName,MInit,LName,Email,Password,PhoneNumber,Address
1,John,N,Smith,js20242@hotmail.com,abc123,9401234567,1234 November St. Richardson TX 75080
2,Jill,M,Smith,jill_sm@gmail.com,abc123,9721234567,1234 November St. Richardson TX 75080
3,Faucibus,O,Luctus,faucibus.orci.luctus@hotmail.net,abc123,1465956861,6324 Felis. Avenue Los Angeles CA 95321
4,Aenea,,Newton,aenean@hotmail.com,abc123,3381593300,591-3108 Sit Rd. Omaha NE 68007
5,Dylan,T,Onec,donec@google.com,abc123,668115053,Ap #790-7683 Fusce Ave Wichita KS 64597
6,Neque,P,Enteseque,neque.pellentesque@protonmail.edu,abc123,7823650348,Ap #460-1412 Vulputate St. Kirkwall OH 41080
7,Euismod,U,Nullam,euismod.urna.nullam@google.net,abc123,9453519837,350 Comet Blvd. Paris TX 75005
8,Duis,,Volutpat,duis.volutpat@outlook.ca,abc123,7678777820,859 Porttitor Avenue Polynski NC 51354
9,Quis,E,Pede,quis.pede@yahoo.c,abc123,7460103174,1733 Diam St. Rocca Massima PA 38296
10,Sid,E,Davis,sed@outlook.ca,abc123,3638632655,609-7590 Nisl. Ave Aylesbury TX 71132
