EmployeeID,FName,MInit,LName,Title,Email,PhoneNumber
1,Ethan,V,Hahn,CEO,ethan.hann@b2b.com,8918847336
2,Diana,A,Carrillo,VP,diana.carrillo@b2b.com,8238972250
3,Blake,B,Abbott,Delivery Associate,blake.abbott@b2b.com,7489439380
4,Abeel,C,Wheeler,DBA,abeel.wheeler@b2b.com,7287281697
5,Ina,D,Owens,Warehouse Specialist,ina.owens@b2b.com,9342258367
6,Camille,E,Butler,Marketing Associate,camille.butler@b2b.com,4366637505
7,Naro,F,Lowe,IT,naro.lowe@b2b.com,8429607580
8,Gretchen,G,Langley,Temporary Worker,gretchen.langley@b2b.com,7634396009
9,Arsenio,H,Wyatt,Delivery Associate,arsenio.wyatt@b2b.com,1607208354
10,Amity,I,Gaines,Warehouse Specialist,amity.gaines@b2b.com,8572169365
